,User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail
0,0x6f08189713d7c88b6f69b671c9ac5f0081cc9ba5,Aquatic,Clear,Leafy,Goldfish,Piranha,Cuckoo,Koi
1,0x6f08189713d7c88b6f69b671c9ac5f0081cc9ba5,Beast,Little Owl,Risky Bird,Ronin,Nut Cracker,Imp,Nut Cracker
2,0x6f08189713d7c88b6f69b671c9ac5f0081cc9ba5,Plant,Cucumber Slice,Lotus,Pumpkin,Serious,Leaf Bug,Cattail
3,0x7f7cdcb632d1641378086ce89ab4190b61677805,Bug,Neo,Ear Breathing,Garish Worm,Pincer,Parasite,Fish Snack
4,0x7f7cdcb632d1641378086ce89ab4190b61677805,Plant,Papi,Hollow,Garish Worm,Serious,Leaf Bug,Yam
5,0x7f7cdcb632d1641378086ce89ab4190b61677805,Aquatic,Telescope,Nimo,Balloon,Cute Bunny,Shoal Star,Koi
6,0xdabb232cb403ba23c44c8d593851c47ad74be52f,Plant,Papi,Clover,Garish Worm,Serious,Leaf Bug,Hot Butt
7,0xdabb232cb403ba23c44c8d593851c47ad74be52f,Dusk,Robin,Bubblemaker,Snail Shell,Tiny Turtle,Lagging,Thorny Caterpillar
8,0xdabb232cb403ba23c44c8d593851c47ad74be52f,Aquatic,Clear,Nimo,Garish Worm,Lam,Shoal Star,Shrimp
9,0xc5bf891f862dcb690a6d7a5a935f0df6bd6d41ab,Aquatic,Clear,Peace Maker,Hero,Doubletalk,Shoal Star,Koi
10,0xc5bf891f862dcb690a6d7a5a935f0df6bd6d41ab,Aquatic,Clear,Gill,Sponge,Doubletalk,Incisor,Nimo
11,0xc5bf891f862dcb690a6d7a5a935f0df6bd6d41ab,Plant,Confused,Sakura,Buzz Buzz,Serious,Beech,Hot Butt
12,0x833ce13db4f49cae55833b8671eddfe1f9a0a2db,Reptile,Clear,Seaslug,Green Thorns,Tiny Turtle,Incisor,Thorny Caterpillar
13,0x833ce13db4f49cae55833b8671eddfe1f9a0a2db,Plant,Papi,Lotus,Pumpkin,Serious,Leaf Bug,Yam
14,0x833ce13db4f49cae55833b8671eddfe1f9a0a2db,Beast,Mavis,Gill,Risky Beast,Nut Cracker,Dual Blade,Nut Cracker
15,0xfdaa118b4c3ca2ea10bdc89becda775c081cb7d6,Bug,Gero,Curved Spine,Snail Shell,Cute Bunny,Antenna,Pupae
